name;registration;nickname;password;email;professor;admin
ALICIA RODRIGUES MARQUES;1234567;ALICIA;123456;ALICIA@email.com;true;
ALINNE DUARTE WENDER;1234568;ALINNE;123456;ALINNE@email.com;true;
ANA LOUIZE BARBOSA DA SILVA;1234569;ANA LOUIZE;123456;LOUIZE@email.com;;true
ANA PAULA ARAUJO DE ALBUQUERQUE;1234570;ANA PAULA;123456;PAULA@email.com;;true
ANDRESSA SOUZA NASCIMENTO;1234571;ANDRESSA;123456;ANDRESSA@email.com;true;
ANGELICA MARIA PRATTS MEIRA BARBOSA;1234572;ANGELICA;123456;ANGELICA@email.com;true;
ANNA JULYA CAMPOS CORREA;1234573;ANNA JULYA;123456;ANNAJULYA@email.com;true;true
ANTONIO TRAJANO FILHO;1234574;ANTONIO;123456;ANTONIO@email.com;true;true
ARINALDO PEREIRA DE SA JUNIOR;1234575;ARINALDO;123456;ARINALDO@email.com;true;
BRAZ FERREIRA PAIN JUNIOR;1234576;BRAZ;123456;BRAZ@email.com;true;
BRENDA STEFANNY DA SILVA BESSA;1234577;BRENDA STEFANNY;123456;BRENDASTEFANNY@email.com;;true
BRUNA EMANUELLY TAVARES FRANCISCO;1234578;BRUNA EMANUELLY;123456;BRUNAEMANUELLY@email.com;;true
FREDERICO TAVARES;1234579;FREDERICO;123456;frederico@email.com;true;true
FERNANDA BESSA;1234580;FERNANDA;123456;fernanda@email.com;true;true
